,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,
,"Pynchon, Thomas",Gravity's Rainbow,1973,,b.t. food,Aug-00,BOB XIX,
,"Westlake, Donald",Under an English Heaven,1972,,iverson,Jan-18,BOB XIX,
,"Winter, Ariel S.",Malniveau Prison,2012,20yr Death 1,HCC,Nov-16,BOB XIX,
,"Winter, Ariel S.",The Falling Star,2012,20yr Death 2,HCC,Nov-16,BOB XIX,
,"Winter, Ariel S.",Police at the Funeral,2012,20yr Death 3,HCC,Nov-16,BOB XIX,
,,,,,,,,
,"Brunner, John",Give Warning to the World,1974,,auth,Aug-20,BOB XX,
,"Camus, Albert",The Stranger,1942,,lit,Aug-20,BOB XX,
,"Clark, Walter Van Tilburg",The Ox-Bow Incident,1940,,lit,Jul-05,BOB XX,
,"Didion, Joan",Democracy,1984,,cult fic,Apr-00,BOB XX,
,"Farmer, Philip Jose",Riverworld and Other Stories,1979,River 4,ser,Apr-00,BOB XX,
,"Farmer, Philip Jose",Gods of Riverworld,1983,River 6,ser,Apr-00,BOB XX,
,"Faulkner, William",As I Lay Dying,1930,,lit,Jan-00,BOB XX,
,"Goines, Donald","White Man's Justice, Black Man's Grief",1973,,cult fic,Apr-00,BOB XX,
,"Platt, Charles",Free Zone,1989,,haul,Sep-00,BOB XX,
,"Saberhagen, Fred",Berserker,1967,BZ 1,2nd read,Dec-12,BOB XX,
,"Vance, Jack",The Five Gold Bands,1953,,auth,Jun-98,BOB XX,
,"Vance, Jack",The Dragon Masters,1963,,2nd read,Aug-20,BOB XX,
,"von Eschenbach, Wolfram",Parzival,1225,,lit,Sep-00,BOB XX,
,,,,,,,,
,"Castiglione, Baldesar",The Book of the Courtier,1527,,lit,Sep-14,CHX BOX,
,"Gerrold, David",The Man Who Folded Himself,1973,,Harris,Aug-13,CHX BOX,
,"Hardy, Thomas",Jude the Obscure,1895,,aldiss,Jul-95,CHX BOX,
,"Nagata, Linda",Vast,1998,,101,Aug-13,CHX BOX,
,"Neville, Kris",Invaders on the Moon,1970,,malzberg,Sep-14,CHX BOX,
,"Rosenblum, Mary",Chimera,1993,,101,Aug-13,CHX BOX,
,"Russo, Richard Paul",Destroying Angel,1992,,TIE,Jul-98,CHX BOX,
,"Scott, Jody",Passing for Human,1977,,io9,Aug-13,CHX BOX,
,"Simak, Clifford",The Visitors,1980,,Harris,Aug-13,CHX BOX,
,"Smith, Thorne",Rain in the Doorway,1933,,odd sf,Aug-14,CHX BOX,
,"Stableford, Brian",The Cassandra Complex,2001,,101,Aug-13,CHX BOX,
,"Sterling, Bruce",Islands in the Net,1988,,TIE,Jul-98,CHX BOX,
,,,,,,,,
,"Cholfin, Bryan, ed.",The Best of Crank,1998,anthol.,wolfe,Jul-98,PUMA 2,
,"Eklund, Gordon",A Trace of Dreams,1972,Ace SF 1+,ser,Mar-21,PUMA 2,
,"Maupassant, Guy de",Selected Short Stories,1971,ss,lit,Jan-00,PUMA 2,
,"McDevitt, Jack",The Hercules Text,1986,Ace SF 3,Harris,Aug-13,PUMA 2,
,"Robinson, Kim Stanley",The Wild Shore,1984,Ace SF 3,TIE,Jul-98,PUMA 2,
,"Sleator, William",Among the Dolls,1975,,auth,Mar-21,PUMA 2,
,"Sleator, William",Into the Dream,1979,,auth,Mar-21,PUMA 2,
,"Vine, Richard",SoHo Sins,2016,,HCC,Feb-17,PUMA 2,
,"Westlake, Donald",The Ax,1997,,iverson,Nov-01,PUMA 2,
,,,,,,,,
,"Aldiss, Brian",Helliconia Winter,1985,Hellic 3,SFE,Sep-14,CHX BOX 2,
,"Banks, Iain",Feersum Endjinn,1994,,TIE,Jul-98,CHX BOX 2,
,"Bradley, Marion Z.",The Mists of Avalon,1982,,SFE,Jan-00,CHX BOX 2,
,"Cherryh, C.J.",Cyteen,1988,,TIE,Jul-98,CHX BOX 2,
,"Farmer, Philip Jose",Riverworld War,1980,ss,ser,Apr-00,CHX BOX 2,
,"Finney, Jack",Invasion of the Body Snatchers,1954,,weiselberry,Jul-98,CHX BOX 2,
,"Malzberg, Barry N.",Revelations,1972,,2nd att,Aug-14,CHX BOX 2,
,"McIntyre, Vonda",Dreamsnake,1978,,TIE,Jul-98,CHX BOX 2,
,"White, James",The Genocidal Healer,1992,SG 7,auth,Nov-99,CHX BOX 2,
